TUE JAN 29 2013	FLORIDA	TAMPA BAY
TUE JAN 29 2013	DALLAS	DETROIT
TUE JAN 29 2013	COLUMBUS	MINNESOTA
TUE JAN 29 2013	ANAHEIM	SAN JOSE
WED JAN 30 2013	MONTRÉAL	OTTAWA
WED JAN 30 2013	CHICAGO	MINNESOTA
WED JAN 30 2013	EDMONTON	PHOENIX
WED JAN 30 2013	COLORADO	VANCOUVER
THU JAN 31 2013	BUFFALO	BOSTON
THU JAN 31 2013	WASHINGTON	TORONTO
THU JAN 31 2013	NY ISLANDERS	NEW JERSEY
THU JAN 31 2013	PITTSBURGH	NY RANGERS
THU JAN 31 2013	ST. LOUIS	COLUMBUS
THU JAN 31 2013	WINNIPEG	FLORIDA
THU JAN 31 2013	COLORADO	CALGARY
THU JAN 31 2013	NASHVILLE	LOS ANGELES
THU JAN 31 2013	EDMONTON	SAN JOSE
FRI FEB 1 2013	PHILADELPHIA	WASHINGTON
FRI FEB 1 2013	OTTAWA	CAROLINA
FRI FEB 1 2013	WINNIPEG	TAMPA BAY
FRI FEB 1 2013	ST. LOUIS	DETROIT
FRI FEB 1 2013	PHOENIX	DALLAS
FRI FEB 1 2013	CHICAGO	VANCOUVER
FRI FEB 1 2013	MINNESOTA	ANAHEIM
SAT FEB 2 2013	NEW JERSEY	PITTSBURGH
SAT FEB 2 2013	BUFFALO	MONTRÉAL
SAT FEB 2 2013	EDMONTON	COLORADO
SAT FEB 2 2013	BOSTON	TORONTO
SAT FEB 2 2013	CAROLINA	PHILADELPHIA
SAT FEB 2 2013	NY RANGERS	TAMPA BAY
SAT FEB 2 2013	DETROIT	COLUMBUS
SAT FEB 2 2013	DALLAS	PHOENIX
SAT FEB 2 2013	CHICAGO	CALGARY
SAT FEB 2 2013	LOS ANGELES	ANAHEIM
SAT FEB 2 2013	NASHVILLE	SAN JOSE
SUN FEB 3 2013	PITTSBURGH	WASHINGTON
SUN FEB 3 2013	OTTAWA	MONTRÉAL
SUN FEB 3 2013	FLORIDA	BUFFALO
SUN FEB 3 2013	NEW JERSEY	NY ISLANDERS
MON FEB 4 2013	CAROLINA	TORONTO
MON FEB 4 2013	DALLAS	COLORADO
MON FEB 4 2013	MINNESOTA	PHOENIX
MON FEB 4 2013	VANCOUVER	EDMONTON
MON FEB 4 2013	SAN JOSE	ANAHEIM
TUE FEB 5 2013	NY RANGERS	NEW JERSEY
TUE FEB 5 2013	PITTSBURGH	NY ISLANDERS
TUE FEB 5 2013	TORONTO	WASHINGTON
TUE FEB 5 2013	LOS ANGELES	COLUMBUS
TUE FEB 5 2013	BUFFALO	OTTAWA
TUE FEB 5 2013	TAMPA BAY	PHILADELPHIA
TUE FEB 5 2013	CALGARY	DETROIT
TUE FEB 5 2013	FLORIDA	WINNIPEG
TUE FEB 5 2013	NASHVILLE	ST. LOUIS
TUE FEB 5 2013	CHICAGO	SAN JOSE
WED FEB 6 2013	BOSTON	MONTRÉAL
WED FEB 6 2013	ANAHEIM	COLORADO
WED FEB 6 2013	DALLAS	EDMONTON
THU FEB 7 2013	MONTRÉAL	BUFFALO
THU FEB 7 2013	TAMPA BAY	NEW JERSEY
THU FEB 7 2013	NY ISLANDERS	NY RANGERS
THU FEB 7 2013	FLORIDA	PHILADELPHIA
THU FEB 7 2013	WASHINGTON	PITTSBURGH
THU FEB 7 2013	CALGARY	COLUMBUS
THU FEB 7 2013	CAROLINA	OTTAWA
THU FEB 7 2013	TORONTO	WINNIPEG
THU FEB 7 2013	DETROIT	ST. LOUIS
THU FEB 7 2013	LOS ANGELES	NASHVILLE
THU FEB 7 2013	VANCOUVER	MINNESOTA
THU FEB 7 2013	CHICAGO	PHOENIX
FRI FEB 8 2013	ANAHEIM	DALLAS
SAT FEB 9 2013	PITTSBURGH	NEW JERSEY
SAT FEB 9 2013	CAROLINA	PHILADELPHIA
SAT FEB 9 2013	WINNIPEG	OTTAWA
SAT FEB 9 2013	EDMONTON	DETROIT
SAT FEB 9 2013	PHOENIX	SAN JOSE
SAT FEB 9 2013	TORONTO	MONTRÉAL
SAT FEB 9 2013	BUFFALO	NY ISLANDERS
SAT FEB 9 2013	FLORIDA	WASHINGTON
SAT FEB 9 2013	ANAHEIM	ST. LOUIS
SAT FEB 9 2013	NASHVILLE	MINNESOTA
SAT FEB 9 2013	CALGARY	VANCOUVER
SUN FEB 10 2013	LOS ANGELES	DETROIT
SUN FEB 10 2013	EDMONTON	COLUMBUS
SUN FEB 10 2013	BOSTON	BUFFALO
